FoulIncidents,HomeTeam,AwayTeam,Matchday,FoulNo,TimeOfFoul,VictName,VictHeight,VictWeight,,PerpName,PerpHeight,PerpWeight,DifferencePerpVict,OutcomeVariable,FoulType,RefName,RefHeight,RefWeight,SecondRef,ThirdRef,GameNumber,,,,TallerAmongPlayers
29,,,,29,P4 - 07:19 ,"#1 OMOT, N.(GIE)",206,91,,"#21 JOESAAR, J.(BAY)",198,94,-8,0,,RadeeshKATTUR,175,83,,,1,AnnePANTHER,174,59,Vict
30,,,,30,P4 - 07:12 ,"#11 SEIFERTH, A.(BAY)",209,113,,"#54 BRYANT, J.(GIE)",211,127,2,1,,NesaKOVACEVIC,193,82,,,1,MoritzREITER,189,91,Perp
31,,,,31,P4 - 06:44 ,"#3 BLAKE, B.(GIE)",201,100,,"#21 JOESAAR, J.(BAY)",198,94,-3,0,,MoritzREITER,189,91,,,1,DanjanaREY,176,62,Vict
32,,,,32,P4 - 05:44 ,"#1 OMOT, N.(GIE)",206,91,,"#15 ALLEN, T.(BAY)",203,105,-3,0,,RadeeshKATTUR,175,83,,,1,SvenROSENBAUM,191,97,Vict
33,,,,33,P4 - 05:05 ,"#11 SEIFERTH, A.(BAY)",209,113,,"#54 BRYANT, J.(GIE)",211,127,2,1,,NesaKOVACEVIC,193,82,,,1,KonstantinSIMONOW,174,83,Perp
34,,,,34,P4 - 04:24 ,"#3 BLAKE, B.(GIE)",201,100,,"#21 JOESAAR, J.(BAY)",198,94,-3,0,,MoritzREITER,189,91,,,1,DennisSIROWI,184,92,Vict
35,,,,35,P4 - 02:08 ,"#3 THORNTON, M.(BAY)",193,88,,"#3 BLAKE, B.(GIE)",201,100,8,1,,MoritzREITER,189,91,,,1,CarstenSTRAUBE,194,99,Perp
36,,,,36,P4 - 01:12 ,"#1 OMOT, N.(GIE)",206,91,,"#15 ALLEN, T.(BAY)",203,105,-3,0,,RadeeshKATTUR,175,83,,,1,EnricoSTREIT,185,67,Vict
37,Chemnitz,Oldenburg,1,1,P1 - 06:04 ,"#3 HEIDEGGER, M.(OLD)",191,92,,"#15 MASSENAT, F.(CH)",193,87,2,1,,ChristianTHEIS,183,71,,,2,ChristianTHEIS,183,71,Perp
38,,,,2,P1 - 04:51 ,"#35 PJANIC, A.(OLD)",202,90,,"#11 MIKE, I.(CH)",203,98,1,1,,CarstenSTRAUBE,194,99,,,2,,,,Perp
39,,,,3,P1 - 04:30 ,"#3 ZIEGENHAGEN, M.(CH)",193,91,,"#20 MICHALAK, M.(OLD)",197,95,4,1,,ChristianTHEIS,183,71,,,2,,,,Perp
40,,,,4,P1 - 02:56 ,"#12 BREUNIG, M.(OLD)",203,100,,"#7 RICHTER, J.(CH)",206,105,3,1,,ChristianTHEIS,183,71,,,2,,,,Perp
41,,,,5,P1 - 02:24 ,"#33 HUNDT, B.(OLD)",180,73,,"#0 WEIDEMANN, N.(CH)",190,74,10,1,,ChristianTHEIS,183,71,,,2,,,,Perp
42,,,,6,P1 - 01:10 ,"#7 RICHTER, J.(CH)",206,105,,"#12 BREUNIG, M.(OLD)",203,100,-3,0,,SteveBITTNER,189,93,,,2,,,,Vict
43,,,,7,P1 - 01:04 ,"#3 ZIEGENHAGEN, M.(CH)",193,91,,"#22 HOLYFIELD, T.(OLD)",203,100,10,1,,SteveBITTNER,189,93,,,2,,,,Perp
44,,,,8,P1 - 00:40 ,"#12 BREUNIG, M.(OLD)",203,100,,"#7 RICHTER, J.(CH)",206,105,3,1,,CarstenSTRAUBE,194,99,,,2,,,,Perp
45,,,,9,P2 - 09:43 ,"#33 HUNDT, B.(OLD)",180,73,,"#0 WEIDEMANN, N.(CH)",190,74,10,1,,CarstenSTRAUBE,194,99,,,2,,,,Perp
46,,,,10,P2 - 07:40 ,"#20 MICHALAK, M.(OLD)",197,95,,"#3 ZIEGENHAGEN, M.(CH)",193,91,-4,0,,CarstenSTRAUBE,194,99,,,2,,,,Vict
47,,,,11,P2 - 07:23 ,"#22 ROBINSON, G.(CH)",185,80,,"#33 HUNDT, B.(OLD)",180,73,-5,0,,SteveBITTNER,189,93,,,2,,,,Vict
48,,,,12,P2 - 06:51 ,"#20 MICHALAK, M.(OLD)",197,95,,"#44 ATKINS, D.(CH)",203,105,6,1,,ChristianTHEIS,183,71,,,2,,,,Perp
49,,,,13,P2 - 02:23 ,"#3 HEIDEGGER, M.(OLD)",191,92,,"#22 ROBINSON, G.(CH)",185,80,-6,0,,SteveBITTNER,189,93,,,2,,,,Vict
50,,,,14,P3 - 07:56 ,"#22 ROBINSON, G.(CH)",185,80,,"#21 ODIASE, T.(OLD)",206,111,21,1,,SteveBITTNER,189,93,,,2,,,,Perp
51,,,,15,P3 - 07:50 ,"#11 MIKE, I.(CH)",203,98,,"#23 PAULDING, R.(OLD)",196,102,-7,0,,ChristianTHEIS,183,71,,,2,,,,Vict
52,,,,16,P3 - 05:21 ,"#7 RICHTER, J.(CH)",206,105,,"#11 PRESSEY, P.(OLD)",180,82,-26,0,,CarstenSTRAUBE,194,99,,,2,,,,Vict
53,,,,17,P3 - 04:14 ,"#20 MICHALAK, M.(OLD)",197,95,,"#29 SUSINSKAS, M.(CH)",204,87,7,1,,ChristianTHEIS,183,71,,,2,,,,Perp
54,,,,18,P3 - 02:53 ,"#3 HEIDEGGER, M.(OLD)",191,92,,"#22 ROBINSON, G.(CH)",185,80,-6,0,,ChristianTHEIS,183,71,,,2,,,,Vict
55,,,,19,P3 - 02:43 ,"#0 WEIDEMANN, N.(CH)",190,74,,"#7 HERRERA, S.(OLD)",193,92,3,1,,CarstenSTRAUBE,194,99,,,2,,,,Perp
56,,,,20,P3 - 02:19 ,"#33 HUNDT, B.(OLD)",180,73,,"#0 WEIDEMANN, N.(CH)",190,74,10,1,,SteveBITTNER,189,93,,,2,,,,Perp
57,,,,21,P3 - 02:00 ,"#7 HERRERA, S.(OLD)",193,92,,"#0 WEIDEMANN, N.(CH)",190,74,-3,0,offensive,SteveBITTNER,189,93,,,2,,,,Vict
58,,,,22,P3 - 01:29 ,"#20 MICHALAK, M.(OLD)",197,95,,"#3 ZIEGENHAGEN, M.(CH)",193,91,-4,0,,SteveBITTNER,189,93,,,2,,,,Vict
59,,,,23,P3 - 00:42 ,"#3 ZIEGENHAGEN, M.(CH)",193,91,,"#20 MICHALAK, M.(OLD)",197,95,4,1,,SteveBITTNER,189,93,,,2,,,,Perp
60,,,,24,P3 - 00:28 ,"#23 PAULDING, R.(OLD)",196,102,,"#8 WIMBERG, N.(CH)",206,97,10,1,,ChristianTHEIS,183,71,,,2,,,,Perp
61,,,,25,P4 - 09:30 ,"#3 HEIDEGGER, M.(OLD)",191,92,,"#3 ZIEGENHAGEN, M.(CH)",193,91,2,1,,SteveBITTNER,189,93,,,2,,,,Perp
62,,,,26,P4 - 06:54 ,"#8 WIMBERG, N.(CH)",206,97,,"#7 HERRERA, S.(OLD)",193,92,-13,0,,SteveBITTNER,189,93,,,2,,,,Vict
63,,,,27,P4 - 06:41 ,"#3 HEIDEGGER, M.(OLD)",191,92,,"#22 ROBINSON, G.(CH)",185,80,-6,0,,ChristianTHEIS,183,71,,,2,,,,Vict
64,,,,28,P4 - 05:48 ,"#8 WIMBERG, N.(CH)",206,97,,"#3 HEIDEGGER, M.(OLD)",191,92,-15,0,,ChristianTHEIS,183,71,,,2,,,,Vict
65,,,,29,P4 - 00:16 ,"#20 MICHALAK, M.(OLD)",197,95,,"#22 ROBINSON, G.(CH)",185,80,-12,0,,ChristianTHEIS,183,71,,,2,,,,Vict
66,,,,30,P4 - 00:07 ,"#11 MIKE, I.(CH)",203,98,,"#23 PAULDING, R.(OLD)",196,102,-7,0,,CarstenSTRAUBE,194,99,,,2,,,,Vict
67,,,,31,P4 - 00:02 ,"#44 ATKINS, D.(CH)",203,105,,"#12 BREUNIG, M.(OLD)",203,100,0,1,,ChristianTHEIS,183,71,,,2,,,,Vict
68,Halle,Heidelberg,1,1,P1 - 07:31 ,"#15 GEIST, J.(HDB)",188,81,,"#23 HUSKIC, G.(MBC)",210,102,22,1,offensive,OliverKRAUSE,182,80,,,3,,,,Perp
69,,,,2,P1 - 06:52 ,"#22 COFFEY, C.(MBC)",201,100,,"#2 WÜRZNER, N.(HDB)",196,85,-5,0,,OliverKRAUSE,182,80,,,3,,,,Vict
70,,,,3,P1 - 02:53 ,"#8 UGRAI, M.(HDB)",201,104,,"#88 YAKHCHALI, B.(MBC)",196,87,-5,0,,NerminHODZIC,188,82,,,3,,,,Vict
71,,,,4,P1 - 02:08 ,"#13 CAISIN, R.(MBC)",198,94,,"#5 ELY, S.(HDB)",194,90,-4,0,,TamerARIK,180,86,,,3,,,,Vict
72,,,,5,P1 - 01:33 ,"#44 REBIC, N.(MBC)",188,80,,"#10 MARTIN, K.(HDB)",196,94,8,1,,NerminHODZIC,188,82,,,3,,,,Perp
73,,,,6,P1 - 00:21 ,"#3 LOWERY, R.(HDB)",188,78,,"#7 KERUSCH, S.(MBC)",195,105,7,1,,NerminHODZIC,188,82,,,3,,,,Perp
74,,,,7,P2 - 09:12 ,"#5 ELY, S.(HDB)",194,90,,"#30 GARBACZ, J.(MBC)",197,86,3,1,,NerminHODZIC,188,82,,,3,,,,Perp
75,,,,8,P2 - 08:45 ,"#44 REBIC, N.(MBC)",188,80,,"#3 LOWERY, R.(HDB)",188,78,0,1,,TamerARIK,180,86,,,3,,,,Vict
76,,,,9,P2 - 08:29 ,"#1 CHAPMAN, B.(HDB)",206,97,,"#8 RICHTER, J.(MBC)",205,98,-1,0,,OliverKRAUSE,182,80,,,3,,,,Vict
77,,,,10,P2 - 08:23 ,"#44 REBIC, N.(MBC)",188,80,,"#1 CHAPMAN, B.(HDB)",206,97,18,1,,OliverKRAUSE,182,80,,,3,,,,Perp
78,,,,11,P2 - 06:00 ,"#23 HUSKIC, G.(MBC)",210,102,,"#10 MARTIN, K.(HDB)",196,94,-14,0,,OliverKRAUSE,182,80,,,3,,,,Vict
79,,,,12,P2 - 05:06 ,"#23 HUSKIC, G.(MBC)",210,102,,"#8 UGRAI, M.(HDB)",201,104,-9,0,,NerminHODZIC,188,82,,,3,,,,Vict
80,,,,13,P2 - 04:44 ,"#1 CHAPMAN, B.(HDB)",206,97,,"#20 MORRIS, J.(MBC)",193,91,-13,0,,NerminHODZIC,188,82,,,3,,,,Vict
81,,,,14,P2 - 03:31 ,"#2 WÜRZNER, N.(HDB)",196,85,,"#23 HUSKIC, G.(MBC)",210,102,14,1,unsportsmanlike,OliverKRAUSE,182,80,,,3,,,,Perp
82,,,,15,P2 - 02:54 ,"#2 WÜRZNER, N.(HDB)",196,85,,"#88 YAKHCHALI, B.(MBC)",196,87,0,1,,OliverKRAUSE,182,80,,,3,,,,Vict
