FoulIncidents,HomeTeam,AwayTeam,Matchday,FoulNo,TimeOfFoul,VictName,VictHeight,VictWeight,,PerpName,PerpHeight,PerpWeight,DifferencePerpVict,OutcomeVariable,FoulType,RefName,RefHeight,RefWeight,SecondRef,ThirdRef,GameNumber,,,,TallerAmongPlayers
2359,,,,42,V4 00:14,"#10 JARAMAZ, O.(FCB)",193,88,,"#3 LOWERY, R.(HDB)",188,78,-5,0,unsportsmanlike,AnnePANTHER,174,59,,,57,,,,Vict
2360,Bayreuth,Berlin,13,1,P1 - 08:40 ,"#19 SAJUS, M.(BAY)",208,118,,"#55 LAMMERS, B.(BER)",208,103,0,1,,KonstantinSIMONOW,174,83,,,58,,,,Vict
2361,,,,2,P1 - 07:46 ,"#8 ERIKSSON, M.(BER)",201,94,,"#3 THORNTON, M.(BAY)",193,88,-8,0,,KonstantinSIMONOW,174,83,,,58,,,,Vict
2362,,,,3,P1 - 07:25 ,"#55 LAMMERS, B.(BER)",208,103,,"#19 SAJUS, M.(BAY)",208,118,0,1,,ChristianTHEIS,183,71,,,58,,,,Vict
2363,,,,4,P1 - 04:11 ,"#32 THIEMANN, J.(BER)",206,102,,"#9 BRUHNKE, K.(BAY)",203,100,-3,0,,BenjaminBARTH,185,70,,,58,,,,Vict
2364,,,,5,P1 - 03:51 ,"#2 ANIM, S.(BAY)",196,95,,"#6 DELOW, M.(BER)",197,84,1,1,,ChristianTHEIS,183,71,,,58,,,,Perp
2365,,,,6,P1 - 03:15 ,"#9 BRUHNKE, K.(BAY)",203,100,,"#3 SMITH, J.(BER)",190,93,-13,0,,ChristianTHEIS,183,71,KonstantinSIMONOW,,58,,,,Vict
2366,,,,7,P1 - 01:09 ,"#2 ANIM, S.(BAY)",196,95,,"#1 DA SILVA, O.(BER)",206,104,10,1,,KonstantinSIMONOW,174,83,,,58,,,,Perp
2367,,,,8,P1 - 00:22 ,"#45 BLATT, T.(BER)",178,82,,"#7 JALALPOOR, P.(BAY)",188,86,10,1,,ChristianTHEIS,183,71,,,58,,,,Perp
2368,,,,9,P1 - 00:13 ,"#6 DELOW, M.(BER)",197,84,,"#2 ANIM, S.(BAY)",196,95,-1,0,,ChristianTHEIS,183,71,,,58,,,,Vict
2369,,,,10,P2 - 08:57 ,"#2 ANIM, S.(BAY)",196,95,,"#6 DELOW, M.(BER)",197,84,1,1,,KonstantinSIMONOW,174,83,,,58,,,,Perp
2370,,,,11,P2 - 06:56 ,"#1 DA SILVA, O.(BER)",206,104,,"#19 SAJUS, M.(BAY)",208,118,2,1,,KonstantinSIMONOW,174,83,,,58,,,,Perp
2371,,,,13,P2 - 06:24 ,"#43 SIKMA, L.(BER)",202,107,,"#15 ALLEN, T.(BAY)",203,105,1,1,,ChristianTHEIS,183,71,,,58,,,,Perp
2372,,,,14,P2 - 05:50 ,"#19 SAJUS, M.(BAY)",208,118,,"#19 OLINDE, L.(BER)",205,87,-3,0,offensive,BenjaminBARTH,185,70,,,58,,,,Vict
2373,,,,15,P2 - 04:16 ,"#19 OLINDE, L.(BER)",205,87,,"#3 THORNTON, M.(BAY)",193,88,-12,0,,KonstantinSIMONOW,174,83,,,58,,,,Vict
2374,,,,16,P2 - 03:29 ,"#19 OLINDE, L.(BER)",205,87,,"#9 BRUHNKE, K.(BAY)",203,100,-2,0,,ChristianTHEIS,183,71,BenjaminBARTH,,58,,,,Vict
2375,,,,17,P2 - 03:18 ,"#8 ERIKSSON, M.(BER)",201,94,,"#9 BRUHNKE, K.(BAY)",203,100,2,1,offensive,KonstantinSIMONOW,174,83,,,58,,,,Perp
2376,,,,18,P2 - 02:12 ,"#32 THIEMANN, J.(BER)",206,102,,"#2 ANIM, S.(BAY)",196,95,-10,0,offensive,BenjaminBARTH,185,70,,,58,,,,Vict
2377,,,,19,P2 - 01:08 ,"#0 LO, M.(BER)",191,82,,"#3 THORNTON, M.(BAY)",193,88,2,1,,BenjaminBARTH,185,70,,,58,,,,Perp
2378,,,,20,P3 - 09:35 ,"#2 ANIM, S.(BAY)",196,95,,"#8 ERIKSSON, M.(BER)",201,94,5,1,unsportsmanlike,BenjaminBARTH,185,70,,,58,,,,Perp
2379,,,,21,P3 - 09:26 ,"#10 DORETH, B.(BAY)",183,83,,"#0 LO, M.(BER)",191,82,8,1,,ChristianTHEIS,183,71,,,58,,,,Perp
2380,,,,22,P3 - 08:18 ,"#43 SIKMA, L.(BER)",202,107,,"#15 ALLEN, T.(BAY)",203,105,1,1,,KonstantinSIMONOW,174,83,,,58,,,,Perp
2381,,,,23,P3 - 04:25 ,"#45 BLATT, T.(BER)",178,82,,"#10 DORETH, B.(BAY)",183,83,5,1,,ChristianTHEIS,183,71,,,58,,,,Perp
2382,,,,24,P3 - 02:34 ,"#32 THIEMANN, J.(BER)",206,102,,"#2 ANIM, S.(BAY)",196,95,-10,0,,ChristianTHEIS,183,71,KonstantinSIMONOW,,58,,,,Vict
2383,,,,25,P3 - 00:58 ,"#32 THIEMANN, J.(BER)",206,102,,"#9 BRUHNKE, K.(BAY)",203,100,-3,0,unsportsmanlike,BenjaminBARTH,185,70,,,58,,,,Vict
2384,,,,26,P4 - 09:22 ,"#32 THIEMANN, J.(BER)",206,102,,"#7 JALALPOOR, P.(BAY)",188,86,-18,0,,ChristianTHEIS,183,71,,,58,,,,Vict
2385,,,,27,P4 - 08:54 ,"#19 SAJUS, M.(BAY)",208,118,,"#3 SMITH, J.(BER)",190,93,-18,0,,KonstantinSIMONOW,174,83,,,58,,,,Vict
2386,,,,28,P4 - 06:45 ,"#15 ALLEN, T.(BAY)",203,105,,"#43 SIKMA, L.(BER)",202,107,-1,0,,ChristianTHEIS,183,71,,,58,,,,Vict
2387,,,,29,P4 - 06:20 ,"#7 JALALPOOR, P.(BAY)",188,86,,"#8 ERIKSSON, M.(BER)",201,94,13,1,,KonstantinSIMONOW,174,83,,,58,,,,Perp
2388,,,,30,P4 - 06:01 ,"#43 SIKMA, L.(BER)",202,107,,"#7 JALALPOOR, P.(BAY)",188,86,-14,0,,ChristianTHEIS,183,71,,,58,,,,Vict
2389,,,,31,P4 - 05:36 ,"#1 DA SILVA, O.(BER)",206,104,,"#6 WOHLRATH, K.(BAY)",197,92,-9,0,offensive,ChristianTHEIS,183,71,,,58,,,,Vict
2390,,,,32,P4 - 04:18 ,"#0 LO, M.(BER)",191,82,,"#14 SANDERS, M.(BAY)",210,110,19,1,,ChristianTHEIS,183,71,,,58,,,,Perp
2391,,,,33,P4 - 04:06 ,"#21 KOUMADJE, C.(BER)",221,122,,"#14 SANDERS, M.(BAY)",210,110,-11,0,,KonstantinSIMONOW,174,83,,,58,,,,Vict
2392,,,,34,P4 - 02:58 ,"#0 LO, M.(BER)",191,82,,"#6 WOHLRATH, K.(BAY)",197,92,6,1,,KonstantinSIMONOW,174,83,,,58,,,,Perp
2393,,,,35,P4 - 00:25 ,"#9 BRUHNKE, K.(BAY)",203,100,,"#21 KOUMADJE, C.(BER)",221,122,18,1,,BenjaminBARTH,185,70,,,58,,,,Perp
2394,,,,36,P4 - 00:11 ,"#14 SANDERS, M.(BAY)",210,110,,"#21 KOUMADJE, C.(BER)",221,122,11,1,,ChristianTHEIS,183,71,BenjaminBARTH,,58,,,,Perp
2395,Heidelberg,Ulm,13,1,P1 - 08:04 ,"#8 UGRAI, M.(HDB)",201,104,,"#1 FELICIO, C.(ULM)",211,122,10,1,,DominikBEJAOUI,179,81,,,59,,,,Perp
2396,,,,2,P1 - 07:28 ,"#1 FELICIO, C.(ULM)",211,122,,"#1 CHAPMAN, B.(HDB)",206,97,-5,0,,DominikBEJAOUI,179,81,,,59,,,,Vict
2397,,,,3,P1 - 06:32 ,"#0 CHRISTON, S.(ULM)",191,86,,"#3 LOWERY, R.(HDB)",188,78,-3,0,,DominikBEJAOUI,179,81,,,59,,,,Vict
2398,,,,4,P1 - 05:11 ,"#1 FELICIO, C.(ULM)",211,122,,"#8 UGRAI, M.(HDB)",201,104,-10,0,,RobertLOTTERMOSER,186,76,,,59,,,,Vict
2399,,,,5,P1 - 05:00 ,"#3 LOWERY, R.(HDB)",188,78,,"#0 CHRISTON, S.(ULM)",191,86,3,1,,EnricoSTREIT,185,67,,,59,,,,Perp
2400,,,,6,P1 - 04:03 ,"#0 CHRISTON, S.(ULM)",191,86,,"#44 WRIGHT, K.(HDB)",203,109,12,1,,DominikBEJAOUI,179,81,,,59,,,,Perp
2401,,,,7,P1 - 01:28 ,"#10 MARTIN, K.(HDB)",196,94,,"#14 HERKENHOFF, P.(ULM)",209,106,13,1,offensive,RobertLOTTERMOSER,186,76,,,59,,,,Perp
2402,,,,8,P1 - 01:23 ,"#44 ZUGIC, F.(ULM)",196,85,,"#2 WÜRZNER, N.(HDB)",196,85,0,1,unsportsmanlike,EnricoSTREIT,185,67,,,59,,,,Vict
2403,,,,9,P1 - 00:45 ,"#44 ZUGIC, F.(ULM)",196,85,,"#30 FRIEDERICI, L.(HDB)",190,83,-6,0,,EnricoSTREIT,185,67,DominikBEJAOUI,,59,,,,Vict
2404,,,,10,P1 - 00:33 ,"#2 WÜRZNER, N.(HDB)",196,85,,"#13 BRETZEL, N.(ULM)",212,118,16,1,,EnricoSTREIT,185,67,,,59,,,,Perp
2405,,,,11,P2 - 09:20 ,"#3 LOWERY, R.(HDB)",188,78,,"#44 ZUGIC, F.(ULM)",196,85,8,1,,RobertLOTTERMOSER,186,76,,,59,,,,Perp
2406,,,,12,P2 - 08:49 ,"#3 LOWERY, R.(HDB)",188,78,,"#13 BRETZEL, N.(ULM)",212,118,24,1,,DominikBEJAOUI,179,81,,,59,,,,Perp
2407,,,,13,P2 - 07:37 ,"#6 GÜNTHER, P.(ULM)",184,77,,"#30 FRIEDERICI, L.(HDB)",190,83,6,1,,EnricoSTREIT,185,67,,,59,,,,Perp
2408,,,,14,P2 - 06:58 ,"#1 CHAPMAN, B.(HDB)",206,97,,"#22 KLEPEISZ, T.(ULM)",186,82,-20,0,,RobertLOTTERMOSER,186,76,,,59,,,,Vict
2409,,,,15,P2 - 05:29 ,"#0 CHRISTON, S.(ULM)",191,86,,"#2 WÜRZNER, N.(HDB)",196,85,5,1,,DominikBEJAOUI,179,81,,,59,,,,Perp
2410,,,,16,P2 - 02:41 ,"#22 KLEPEISZ, T.(ULM)",186,82,,"#22 HEYDEN, P.(HDB)",206,112,20,1,,RobertLOTTERMOSER,186,76,,,59,,,,Perp
2411,,,,17,P2 - 01:45 ,"#7 THORNWELL, S.(ULM)",193,98,,"#10 MARTIN, K.(HDB)",196,94,3,1,unsportsmanlike,DominikBEJAOUI,179,81,,,59,,,,Perp
2412,,,,18,P2 - 01:40 ,"#1 CHAPMAN, B.(HDB)",206,97,,"#1 FELICIO, C.(ULM)",211,122,5,1,offensive,EnricoSTREIT,185,67,,,59,,,,Perp
2413,,,,19,P2 - 00:14 ,"#8 UGRAI, M.(HDB)",201,104,,"#27 KRIMMER, M.(ULM)",202,94,1,1,,DominikBEJAOUI,179,81,,,59,,,,Perp
2414,,,,20,P3 - 08:02 ,"#1 FELICIO, C.(ULM)",211,122,,"#8 UGRAI, M.(HDB)",201,104,-10,0,,DominikBEJAOUI,179,81,,,59,,,,Vict
2415,,,,21,P3 - 06:45 ,"#4 BLOSSOMGAME, J.(ULM)",198,100,,"#10 MARTIN, K.(HDB)",196,94,-2,0,,EnricoSTREIT,185,67,,,59,,,,Vict
2416,,,,22,P3 - 03:55 ,"#8 UGRAI, M.(HDB)",201,104,,"#1 FELICIO, C.(ULM)",211,122,10,1,,RobertLOTTERMOSER,186,76,,,59,,,,Perp
2417,,,,23,P3 - 03:16 ,"#5 ELY, S.(HDB)",194,90,,"#35 JALLOW, K.(ULM)",198,90,4,1,,DominikBEJAOUI,179,81,,,59,,,,Perp
2418,,,,24,P3 - 02:32 ,"#10 MARTIN, K.(HDB)",196,94,,"#4 BLOSSOMGAME, J.(ULM)",198,100,2,1,,DominikBEJAOUI,179,81,,,59,,,,Perp
2419,,,,25,P3 - 02:05 ,"#27 KRIMMER, M.(ULM)",202,94,,"#1 CHAPMAN, B.(HDB)",206,97,4,1,,DominikBEJAOUI,179,81,,,59,,,,Perp
2420,,,,26,P3 - 00:09 ,"#6 GÜNTHER, P.(ULM)",184,77,,"#5 ELY, S.(HDB)",194,90,10,1,offensive,DominikBEJAOUI,179,81,,,59,,,,Perp
2421,,,,27,P4 - 09:50 ,"#5 ELY, S.(HDB)",194,90,,"#14 HERKENHOFF, P.(ULM)",209,106,15,1,offensive,DominikBEJAOUI,179,81,,,59,,,,Perp
2422,,,,28,P4 - 08:34 ,"#6 GÜNTHER, P.(ULM)",184,77,,"#5 ELY, S.(HDB)",194,90,10,1,,RobertLOTTERMOSER,186,76,,,59,,,,Perp
2423,,,,29,P4 - 07:55 ,"#0 CHRISTON, S.(ULM)",191,86,,"#3 LOWERY, R.(HDB)",188,78,-3,0,,EnricoSTREIT,185,67,,,59,,,,Vict
2424,,,,30,P4 - 07:02 ,"#3 LOWERY, R.(HDB)",188,78,,"#6 GÜNTHER, P.(ULM)",184,77,-4,0,,DominikBEJAOUI,179,81,,,59,,,,Vict
2425,,,,31,P4 - 06:49 ,"#4 BLOSSOMGAME, J.(ULM)",198,100,,"#3 LOWERY, R.(HDB)",188,78,-10,0,,RobertLOTTERMOSER,186,76,,,59,,,,Vict
2426,,,,32,P4 - 04:43 ,"#0 CHRISTON, S.(ULM)",191,86,,"#22 HEYDEN, P.(HDB)",206,112,15,1,,EnricoSTREIT,185,67,,,59,,,,Perp
2427,,,,33,P4 - 03:34 ,"#22 HEYDEN, P.(HDB)",206,112,,"#4 BLOSSOMGAME, J.(ULM)",198,100,-8,0,,EnricoSTREIT,185,67,,,59,,,,Vict
2428,,,,34,P4 - 03:02 ,"#4 BLOSSOMGAME, J.(ULM)",198,100,,"#3 LOWERY, R.(HDB)",188,78,-10,0,unsportsmanlike,EnricoSTREIT,185,67,RobertLOTTERMOSER,,59,,,,Vict
2429,,,,35,P4 - 02:09 ,"#3 LOWERY, R.(HDB)",188,78,,"#7 THORNWELL, S.(ULM)",193,98,5,1,unsportsmanlike,DominikBEJAOUI,179,81,,,59,,,,Perp
2430,,,,36,P4 - 02:03 ,"#5 ELY, S.(HDB)",194,90,,"#7 THORNWELL, S.(ULM)",193,98,-1,0,,DominikBEJAOUI,179,81,,,59,,,,Vict
2431,,,,37,P4 - 00:38 ,"#22 HEYDEN, P.(HDB)",206,112,,"#1 FELICIO, C.(ULM)",211,122,5,1,,EnricoSTREIT,185,67,,,59,,,,Perp
2432,,,,38,P4 - 00:36 ,"#7 THORNWELL, S.(ULM)",193,98,,"#47 KUPPE, A.(HDB)",200,97,7,1,,DominikBEJAOUI,179,81,,,59,,,,Perp
2433,Crailsheim,München,13,2,P1 - 07:24 ,"#10 JARAMAZ, O.(FCB)",193,88,,"#0 SHORTS, T.(CRA)",175,73,-18,0,,ChristianTHEIS,183,71,,,60,,,,Vict
2434,,,,3,P1 - 06:48 ,"#1 THOMAS, D.(FCB)",201,104,,"#9 BLECK, F.(CRA)",200,96,-1,0,,EnricoSTREIT,185,67,,,60,,,,Vict
2435,,,,4,P1 - 06:39 ,"#34 SCHILLING, G.(FCB)",206,107,,"#15 RADOSAVLJEVIC, B.(CRA)",213,117,7,1,,ClemensFRITZ,192,94,ChristianTHEIS,,60,,,,Perp
2436,,,,5,P1 - 05:32 ,"#0 SHORTS, T.(CRA)",175,73,,"#10 JARAMAZ, O.(FCB)",193,88,18,1,,EnricoSTREIT,185,67,,,60,,,,Perp
2437,,,,6,P1 - 04:49 ,"#34 ARIRIGUZOH, R.(CRA)",206,104,,"#1 THOMAS, D.(FCB)",201,104,-5,0,,ClemensFRITZ,192,94,,,60,,,,Vict
2438,,,,7,P1 - 04:39 ,"#2 WALDEN, C.(FCB)",188,86,,"#34 ARIRIGUZOH, R.(CRA)",206,104,18,1,,ChristianTHEIS,183,71,,,60,,,,Perp
2439,,,,8,P1 - 03:21 ,"#1 THOMAS, D.(FCB)",201,104,,"#2 SAVAGE, J.(CRA)",196,93,-5,0,,ChristianTHEIS,183,71,,,60,,,,Vict
2440,,,,9,P1 - 01:19 ,"#12 GEORGE, J.(FCB)",202,88,,"#34 ARIRIGUZOH, R.(CRA)",206,104,4,1,,ChristianTHEIS,183,71,,,60,,,,Perp
2441,,,,10,P1 - 00:45 ,"#9 BLECK, F.(CRA)",200,96,,"#13 OBST, A.(FCB)",191,81,-9,0,,ChristianTHEIS,183,71,,,60,,,,Vict
2442,,,,11,P2 - 08:57 ,"#8 HUNTER, O.(FCB)",203,102,,"#12 KOVACEVIC, D.(CRA)",208,99,5,1,,ClemensFRITZ,192,94,ChristianTHEIS,,60,,,,Perp
2443,,,,12,P2 - 08:37 ,"#9 BLECK, F.(CRA)",200,96,,"#8 HUNTER, O.(FCB)",203,102,3,1,,EnricoSTREIT,185,67,,,60,,,,Perp
2444,,,,13,P2 - 07:23 ,"#9 BLECK, F.(CRA)",200,96,,"#31 SISKO, Z.(FCB)",190,89,-10,0,,ClemensFRITZ,192,94,,,60,,,,Vict
2445,,,,14,P2 - 06:01 ,"#0 SHORTS, T.(CRA)",175,73,,"#31 SISKO, Z.(FCB)",190,89,15,1,,ChristianTHEIS,183,71,,,60,,,,Perp
2446,,,,15,P2 - 05:11 ,"#1 LEWIS, J.(CRA)",201,98,,"#14 DJEDOVIC, N.(FCB)",196,97,-5,0,,EnricoSTREIT,185,67,,,60,,,,Vict
2447,,,,16,P2 - 04:37 ,"#1 THOMAS, D.(FCB)",201,104,,"#1 LEWIS, J.(CRA)",201,98,0,1,,EnricoSTREIT,185,67,,,60,,,,Vict
2448,,,,17,P2 - 01:28 ,"#3 RIVERS, K.(FCB)",196,97,,"#9 BLECK, F.(CRA)",200,96,4,1,,ChristianTHEIS,183,71,,,60,,,,Perp
2449,,,,18,P2 - 00:29 ,"#15 RADOSAVLJEVIC, B.(CRA)",213,117,,"#2 WALDEN, C.(FCB)",188,86,-25,0,,EnricoSTREIT,185,67,,,60,,,,Vict
2450,,,,19,P3 - 09:48 ,"#2 WALDEN, C.(FCB)",188,86,,"#3 STUCKEY, M.(CRA)",187,88,-1,0,,ClemensFRITZ,192,94,,,60,,,,Vict
2451,,,,20,P3 - 08:53 ,"#1 LEWIS, J.(CRA)",201,98,,"#10 JARAMAZ, O.(FCB)",193,88,-8,0,,ChristianTHEIS,183,71,,,60,,,,Vict
2452,,,,21,P3 - 07:42 ,"#0 SHORTS, T.(CRA)",175,73,,"#2 WALDEN, C.(FCB)",188,86,13,1,,ClemensFRITZ,192,94,,,60,,,,Perp
2453,,,,22,P3 - 06:58 ,"#3 STUCKEY, M.(CRA)",187,88,,"#1 THOMAS, D.(FCB)",201,104,14,1,,EnricoSTREIT,185,67,,,60,,,,Perp
2454,,,,23,P3 - 05:33 ,"#0 SHORTS, T.(CRA)",175,73,,"#34 SCHILLING, G.(FCB)",206,107,31,1,,ClemensFRITZ,192,94,ChristianTHEIS,,60,,,,Perp
2455,,,,24,P3 - 05:22 ,"#0 SHORTS, T.(CRA)",175,73,,"#31 SISKO, Z.(FCB)",190,89,15,1,,ChristianTHEIS,183,71,,,60,,,,Perp
2456,,,,25,P3 - 04:48 ,"#0 SHORTS, T.(CRA)",175,73,,"#13 OBST, A.(FCB)",191,81,16,1,,ClemensFRITZ,192,94,,,60,,,,Perp
2457,,,,26,P3 - 04:30 ,"#1 THOMAS, D.(FCB)",201,104,,"#9 BLECK, F.(CRA)",200,96,-1,0,,ClemensFRITZ,192,94,,,60,,,,Vict
2458,,,,27,P3 - 03:34 ,"#10 JARAMAZ, O.(FCB)",193,88,,"#0 SHORTS, T.(CRA)",175,73,-18,0,,EnricoSTREIT,185,67,,,60,,,,Vict
2459,,,,28,P3 - 02:29 ,"#10 JARAMAZ, O.(FCB)",193,88,,"#8 HARRIS, T.(CRA)",193,87,0,1,,EnricoSTREIT,185,67,,,60,,,,Vict
2460,,,,29,P3 - 01:24 ,"#1 LEWIS, J.(CRA)",201,98,,"#10 JARAMAZ, O.(FCB)",193,88,-8,0,,ChristianTHEIS,183,71,,,60,,,,Vict
2461,,,,30,P3 - 00:19 ,"#2 WALDEN, C.(FCB)",188,86,,"#8 HARRIS, T.(CRA)",193,87,5,1,,EnricoSTREIT,185,67,,,60,,,,Perp
2462,,,,31,P4 - 08:11 ,"#9 BLECK, F.(CRA)",200,96,,"#2 WALDEN, C.(FCB)",188,86,-12,0,,ClemensFRITZ,192,94,,,60,,,,Vict
2463,,,,32,P4 - 07:46 ,"#0 SHORTS, T.(CRA)",175,73,,"#3 RIVERS, K.(FCB)",196,97,21,1,,ClemensFRITZ,192,94,,,60,,,,Perp
2464,,,,33,P4 - 07:08 ,"#15 RADOSAVLJEVIC, B.(CRA)",213,117,,"#31 SISKO, Z.(FCB)",190,89,-23,0,,ClemensFRITZ,192,94,ChristianTHEIS,,60,,,,Vict
2465,,,,34,P4 - 06:25 ,"#8 HARRIS, T.(CRA)",193,87,,"#31 SISKO, Z.(FCB)",190,89,-3,0,,ClemensFRITZ,192,94,,,60,,,,Vict
2466,,,,35,P4 - 05:15 ,"#8 HUNTER, O.(FCB)",203,102,,"#1 LEWIS, J.(CRA)",201,98,-2,0,,ClemensFRITZ,192,94,ChristianTHEIS,,60,,,,Vict
2467,,,,36,P4 - 04:06 ,"#1 THOMAS, D.(FCB)",201,104,,"#1 LEWIS, J.(CRA)",201,98,0,1,,ChristianTHEIS,183,71,,,60,,,,Vict
2468,,,,37,P4 - 03:21 ,"#8 HUNTER, O.(FCB)",203,102,,"#15 RADOSAVLJEVIC, B.(CRA)",213,117,10,1,,ClemensFRITZ,192,94,,,60,,,,Perp
2469,,,,38,P4 - 03:14 ,"#3 RIVERS, K.(FCB)",196,97,,"#9 BLECK, F.(CRA)",200,96,4,1,,EnricoSTREIT,185,67,,,60,,,,Perp
2470,,,,39,P4 - 02:42 ,"#0 SHORTS, T.(CRA)",175,73,,"#2 WALDEN, C.(FCB)",188,86,13,1,,ClemensFRITZ,192,94,,,60,,,,Perp
2471,,,,40,P4 - 02:30 ,"#3 RIVERS, K.(FCB)",196,97,,"#8 HARRIS, T.(CRA)",193,87,-3,0,,EnricoSTREIT,185,67,,,60,,,,Vict
2472,,,,41,P4 - 01:56 ,"#3 RIVERS, K.(FCB)",196,97,,"#15 RADOSAVLJEVIC, B.(CRA)",213,117,17,1,,EnricoSTREIT,185,67,,,60,,,,Perp
2473,,,,42,P4 - 01:23 ,"#13 OBST, A.(FCB)",191,81,,"#3 STUCKEY, M.(CRA)",187,88,-4,0,,EnricoSTREIT,185,67,,,60,,,,Vict
2474,Bonn,Halle,13,1,P1 - 08:11 ,"#21 KRATZER, L.(BON)",211,110,,"#8 RICHTER, J.(MBC)",205,98,-6,0,,AndreasBOHN,176,86,,,61,,,,Vict
2475,,,,2,P1 - 07:33 ,"#11 MUSHIDI, K.(MBC)",195,95,,"#20 MORGAN, J.(BON)",196,87,1,1,,AnnePANTHER,174,59,,,61,,,,Perp
2476,,,,3,P1 - 07:13 ,"#21 KRATZER, L.(BON)",211,110,,"#20 MORRIS, J.(MBC)",193,91,-18,0,,AnnePANTHER,174,59,NesaKOVACEVIC,,61,,,,Vict
2477,,,,4,P1 - 06:47 ,"#44 REBIC, N.(MBC)",188,80,,"#9 TADDA, K.(BON)",191,92,3,1,,AndreasBOHN,176,86,,,61,,,,Perp
2478,,,,5,P1 - 06:34 ,"#44 REBIC, N.(MBC)",188,80,,"#33 JACKSON-CARTWRIGHT, P.(BON)",180,77,-8,0,,AnnePANTHER,174,59,,,61,,,,Vict
2479,,,,6,P1 - 06:14 ,"#4 GORHAM, J.(BON)",201,107,,"#20 MORRIS, J.(MBC)",193,91,-8,0,,NesaKOVACEVIC,193,82,,,61,,,,Vict
2480,,,,7,P1 - 04:42 ,"#22 COFFEY, C.(MBC)",201,100,,"#24 HASBARGEN, T.(BON)",194,92,-7,0,,AndreasBOHN,176,86,,,61,,,,Vict
2481,,,,8,P1 - 02:39 ,"#6 KESSENS, M.(BON)",205,103,,"#7 KERUSCH, S.(MBC)",195,105,-10,0,,AnnePANTHER,174,59,,,61,,,,Vict
2482,,,,9,P1 - 01:52 ,"#21 KRATZER, L.(BON)",211,110,,"#23 HUSKIC, G.(MBC)",210,102,-1,0,,AnnePANTHER,174,59,,,61,,,,Vict
2483,,,,10,P1 - 00:40 ,"#20 MORGAN, J.(BON)",196,87,,"#13 CAISIN, R.(MBC)",198,94,2,1,,AnnePANTHER,174,59,,,61,,,,Perp
2484,,,,11,P2 - 09:52 ,"#88 YAKHCHALI, B.(MBC)",196,87,,"#4 GORHAM, J.(BON)",201,107,5,1,,NesaKOVACEVIC,193,82,,,61,,,,Perp
2485,,,,12,P2 - 08:59 ,"#23 HUSKIC, G.(MBC)",210,102,,"#21 KRATZER, L.(BON)",211,110,1,1,,AndreasBOHN,176,86,,,61,,,,Perp
2486,,,,13,P2 - 08:52 ,"#33 JACKSON-CARTWRIGHT, P.(BON)",180,77,,"#44 REBIC, N.(MBC)",188,80,8,1,,AnnePANTHER,174,59,,,61,,,,Perp
2487,,,,14,P2 - 08:27 ,"#11 MUSHIDI, K.(MBC)",195,95,,"#20 MORGAN, J.(BON)",196,87,1,1,,NesaKOVACEVIC,193,82,,,61,,,,Perp
2488,,,,15,P2 - 07:35 ,"#20 MORRIS, J.(MBC)",193,91,,"#20 MORGAN, J.(BON)",196,87,3,1,,AndreasBOHN,176,86,,,61,,,,Perp
2489,,,,16,P2 - 07:32 ,"#11 MUSHIDI, K.(MBC)",195,95,,"#9 TADDA, K.(BON)",191,92,-4,0,,AnnePANTHER,174,59,,,61,,,,Vict
2490,,,,17,P2 - 06:56 ,"#44 REBIC, N.(MBC)",188,80,,"#33 JACKSON-CARTWRIGHT, P.(BON)",180,77,-8,0,,AnnePANTHER,174,59,,,61,,,,Vict
2491,,,,18,P2 - 05:34 ,"#6 KESSENS, M.(BON)",205,103,,"#8 RICHTER, J.(MBC)",205,98,0,1,,AnnePANTHER,174,59,,,61,,,,Vict
2492,,,,19,P2 - 05:29 ,"#12 BOWLIN, S.(BON)",191,80,,"#11 MUSHIDI, K.(MBC)",195,95,4,1,,NesaKOVACEVIC,193,82,,,61,,,,Perp
2493,,,,20,P2 - 04:42 ,"#22 COFFEY, C.(MBC)",201,100,,"#12 BOWLIN, S.(BON)",191,80,-10,0,,AndreasBOHN,176,86,,,61,,,,Vict
2494,,,,21,P2 - 04:06 ,"#23 HUSKIC, G.(MBC)",210,102,,"#3 WARD, T.(BON)",198,86,-12,0,,NesaKOVACEVIC,193,82,,,61,,,,Vict
2495,,,,22,P2 - 03:59 ,"#11 MUSHIDI, K.(MBC)",195,95,,"#3 WARD, T.(BON)",198,86,3,1,offensive,AndreasBOHN,176,86,,,61,,,,Perp
2496,,,,23,P2 - 02:57 ,"#44 REBIC, N.(MBC)",188,80,,"#21 KRATZER, L.(BON)",211,110,23,1,offensive,AnnePANTHER,174,59,,,61,,,,Perp
2497,,,,24,P2 - 01:58 ,"#33 JACKSON-CARTWRIGHT, P.(BON)",180,77,,"#88 YAKHCHALI, B.(MBC)",196,87,16,1,unsportsmanlike,AnnePANTHER,174,59,,,61,,,,Perp
2498,,,,25,P2 - 00:47 ,"#20 MORRIS, J.(MBC)",193,91,,"#33 JACKSON-CARTWRIGHT, P.(BON)",180,77,-13,0,,AndreasBOHN,176,86,,,61,,,,Vict
2499,,,,26,P3 - 08:44 ,"#20 MORGAN, J.(BON)",196,87,,"#11 MUSHIDI, K.(MBC)",195,95,-1,0,,AnnePANTHER,174,59,,,61,,,,Vict
